[Train] Epoch 0066 | Total Loss 1.843211 | Image Acc 33.560976 | Text Acc 35.170732
[Train] Epoch 0067 | Total Loss 1.798246 | Image Acc 34.902439 | Text Acc 35.560976
[Train] Epoch 0068 | Total Loss 1.779331 | Image Acc 34.585366 | Text Acc 35.000000
[Train] Epoch 0069 | Total Loss 1.834892 | Image Acc 34.000000 | Text Acc 34.878049
[Train] Epoch 0070 | Total Loss 1.809998 | Image Acc 34.536585 | Text Acc 35.365854
[Train] Epoch 0071 | Total Loss 1.778773 | Image Acc 34.731707 | Text Acc 35.317073
[Train] Epoch 0072 | Total Loss 1.759614 | Image Acc 35.292683 | Text Acc 35.487805
[Train] Epoch 0073 | Total Loss 1.765488 | Image Acc 34.902439 | Text Acc 35.512195
[Train] Epoch 0074 | Total Loss 1.731441 | Image Acc 35.121951 | Text Acc 35.390244
[Train] Epoch 0075 | Total Loss 1.727840 | Image Acc 35.463415 | Text Acc 35.487805
[Train] Epoch 0076 | Total Loss 1.721259 | Image Acc 35.731707 | Text Acc 35.731707
[Train] Epoch 0077 | Total Loss 1.736207 | Image Acc 35.121951 | Text Acc 35.121951
[Train] Epoch 0078 | Total Loss 1.715994 | Image Acc 35.170732 | Text Acc 35.219512
[Train] Epoch 0079 | Total Loss 1.718871 | Image Acc 35.463415 | Text Acc 35.341463
[Train] Epoch 0080 | Total Loss 1.711961 | Image Acc 35.292683 | Text Acc 35.317073
[Train] Epoch 0081 | Total Loss 1.706386 | Image Acc 36.048780 | Text Acc 36.048780
[Train] Epoch 0082 | Total Loss 1.713236 | Image Acc 35.609756 | Text Acc 35.658537
[Train] Epoch 0083 | Total Loss 1.707887 | Image Acc 35.634146 | Text Acc 35.634146
[Train] Epoch 0084 | Total Loss 1.708555 | Image Acc 35.512195 | Text Acc 35.536585
[Train] Epoch 0085 | Total Loss 1.711749 | Image Acc 35.634146 | Text Acc 35.634146
[Train] Epoch 0086 | Total Loss 1.722583 | Image Acc 35.512195 | Text Acc 35.560976
[Train] Epoch 0087 | Total Loss 1.704231 | Image Acc 35.707317 | Text Acc 35.707317
[Train] Epoch 0088 | Total Loss 1.710702 | Image Acc 35.926829 | Text Acc 35.902439
[Train] Epoch 0089 | Total Loss 1.717941 | Image Acc 35.341463 | Text Acc 35.341463
[Train] Epoch 0090 | Total Loss 1.709135 | Image Acc 35.585366 | Text Acc 35.560976
[Train] Epoch 0091 | Total Loss 1.704408 | Image Acc 35.780488 | Text Acc 35.804878
[Train] Epoch 0092 | Total Loss 1.717070 | Image Acc 35.170732 | Text Acc 35.195122
[Train] Epoch 0093 | Total Loss 1.702358 | Image Acc 35.634146 | Text Acc 35.634146
[Train] Epoch 0094 | Total Loss 1.706793 | Image Acc 35.829268 | Text Acc 35.853659
[Train] Epoch 0095 | Total Loss 1.706955 | Image Acc 35.780488 | Text Acc 35.804878
[Train] Epoch 0096 | Total Loss 1.703681 | Image Acc 35.390244 | Text Acc 35.390244
[Train] Epoch 0097 | Total Loss 1.724261 | Image Acc 35.048780 | Text Acc 35.073171
[Train] Epoch 0098 | Total Loss 1.800822 | Image Acc 34.439024 | Text Acc 35.512195
[Train] Epoch 0099 | Total Loss 1.970562 | Image Acc 32.268293 | Text Acc 34.292683
[Train] Epoch 0100 | Total Loss 1.930800 | Image Acc 31.902439 | Text Acc 33.634146
[Train] Epoch 0101 | Total Loss 1.889207 | Image Acc 32.780488 | Text Acc 34.536585
[Train] Epoch 0102 | Total Loss 1.821485 | Image Acc 34.731707 | Text Acc 35.243902
[Train] Epoch 0103 | Total Loss 1.808165 | Image Acc 34.536585 | Text Acc 35.097561
[Train] Epoch 0104 | Total Loss 1.763510 | Image Acc 35.121951 | Text Acc 35.365854
[Train] Epoch 0105 | Total Loss 1.740548 | Image Acc 35.658537 | Text Acc 35.878049
[Train] Epoch 0106 | Total Loss 1.743643 | Image Acc 35.487805 | Text Acc 35.682927
[Train] Epoch 0107 | Total Loss 1.751621 | Image Acc 35.219512 | Text Acc 35.268293
[Train] Epoch 0108 | Total Loss 1.734362 | Image Acc 35.170732 | Text Acc 35.365854
[Train] Epoch 0109 | Total Loss 1.756294 | Image Acc 35.024390 | Text Acc 35.121951
[Train] Epoch 0110 | Total Loss 1.741609 | Image Acc 35.219512 | Text Acc 35.439024
[Train] Epoch 0111 | Total Loss 1.725835 | Image Acc 35.536585 | Text Acc 35.634146
[Train] Epoch 0112 | Total Loss 1.723927 | Image Acc 35.487805 | Text Acc 35.682927
[Train] Epoch 0113 | Total Loss 1.722865 | Image Acc 35.414634 | Text Acc 35.487805
[Train] Epoch 0114 | Total Loss 1.725061 | Image Acc 35.414634 | Text Acc 35.487805
[Train] Epoch 0115 | Total Loss 1.715030 | Image Acc 35.560976 | Text Acc 35.731707
[Train] Epoch 0116 | Total Loss 1.719888 | Image Acc 35.146341 | Text Acc 35.170732
[Train] Epoch 0117 | Total Loss 1.720769 | Image Acc 35.146341 | Text Acc 35.195122
[Train] Epoch 0118 | Total Loss 1.720147 | Image Acc 35.439024 | Text Acc 35.487805
[Train] Epoch 0119 | Total Loss 1.709725 | Image Acc 35.829268 | Text Acc 35.829268
[Train] Epoch 0120 | Total Loss 1.715941 | Image Acc 35.536585 | Text Acc 35.609756
[Train] Epoch 0121 | Total Loss 1.758285 | Image Acc 34.682927 | Text Acc 35.097561
[Train] Epoch 0122 | Total Loss 1.753063 | Image Acc 34.853659 | Text Acc 35.073171
[Train] Epoch 0123 | Total Loss 1.765614 | Image Acc 34.804878 | Text Acc 35.195122
[Train] Epoch 0124 | Total Loss 1.749619 | Image Acc 35.121951 | Text Acc 35.439024
[Train] Epoch 0125 | Total Loss 1.745495 | Image Acc 35.439024 | Text Acc 35.682927
[Train] Epoch 0126 | Total Loss 1.758768 | Image Acc 34.902439 | Text Acc 35.317073
[Train] Epoch 0127 | Total Loss 1.777641 | Image Acc 34.951220 | Text Acc 35.439024
[Train] Epoch 0128 | Total Loss 1.782869 | Image Acc 34.829268 | Text Acc 35.487805
[Train] Epoch 0129 | Total Loss 1.775553 | Image Acc 34.975610 | Text Acc 35.365854
[Train] Epoch 0130 | Total Loss 1.757147 | Image Acc 35.048780 | Text Acc 35.268293
[Train] Epoch 0131 | Total Loss 1.747980 | Image Acc 35.439024 | Text Acc 35.414634
[Train] Epoch 0132 | Total Loss 1.732378 | Image Acc 35.780488 | Text Acc 35.878049
[Train] Epoch 0133 | Total Loss 1.734577 | Image Acc 35.365854 | Text Acc 35.512195
[Train] Epoch 0134 | Total Loss 1.736572 | Image Acc 35.170732 | Text Acc 35.243902
[Train] Epoch 0135 | Total Loss 1.746270 | Image Acc 35.243902 | Text Acc 35.219512
[Train] Epoch 0136 | Total Loss 1.740500 | Image Acc 35.268293 | Text Acc 35.487805
[Train] Epoch 0137 | Total Loss 1.735197 | Image Acc 35.341463 | Text Acc 35.536585
[Train] Epoch 0138 | Total Loss 1.752965 | Image Acc 34.975610 | Text Acc 35.243902
[Train] Epoch 0139 | Total Loss 1.767758 | Image Acc 34.804878 | Text Acc 35.390244
[Train] Epoch 0140 | Total Loss 1.759571 | Image Acc 34.682927 | Text Acc 35.000000
[Train] Epoch 0141 | Total Loss 1.746112 | Image Acc 35.097561 | Text Acc 35.243902
[Train] Epoch 0142 | Total Loss 1.743078 | Image Acc 35.073171 | Text Acc 35.317073
[Train] Epoch 0143 | Total Loss 1.726665 | Image Acc 35.463415 | Text Acc 35.414634
[Train] Epoch 0144 | Total Loss 1.718032 | Image Acc 35.609756 | Text Acc 35.609756
[Train] Epoch 0145 | Total Loss 1.723057 | Image Acc 35.512195 | Text Acc 35.634146
[Train] Epoch 0146 | Total Loss 1.720245 | Image Acc 35.585366 | Text Acc 35.682927
[Train] Epoch 0147 | Total Loss 1.721806 | Image Acc 35.512195 | Text Acc 35.487805
[Train] Epoch 0148 | Total Loss 1.714504 | Image Acc 35.536585 | Text Acc 35.560976
[Train] Epoch 0149 | Total Loss 1.707644 | Image Acc 35.634146 | Text Acc 35.658537
[Train] Epoch 0150 | Total Loss 1.715931 | Image Acc 35.414634 | Text Acc 35.390244
[Train] Epoch 0151 | Total Loss 1.705374 | Image Acc 35.780488 | Text Acc 35.780488
[Train] Epoch 0152 | Total Loss 1.696811 | Image Acc 35.926829 | Text Acc 35.926829
[Train] Epoch 0153 | Total Loss 1.705008 | Image Acc 35.878049 | Text Acc 35.926829
[Train] Epoch 0154 | Total Loss 1.705976 | Image Acc 35.731707 | Text Acc 35.780488
[Train] Epoch 0155 | Total Loss 1.708090 | Image Acc 35.853659 | Text Acc 35.853659
[Train] Epoch 0156 | Total Loss 1.714586 | Image Acc 35.439024 | Text Acc 35.439024
[Train] Epoch 0157 | Total Loss 1.711742 | Image Acc 35.512195 | Text Acc 35.512195
[Train] Epoch 0158 | Total Loss 1.709794 | Image Acc 35.341463 | Text Acc 35.365854
[Train] Epoch 0159 | Total Loss 1.701415 | Image Acc 35.731707 | Text Acc 35.756098
[Train] Epoch 0160 | Total Loss 1.708917 | Image Acc 35.365854 | Text Acc 35.390244
[Train] Epoch 0161 | Total Loss 1.709822 | Image Acc 35.512195 | Text Acc 35.512195
[Train] Epoch 0162 | Total Loss 1.712467 | Image Acc 35.097561 | Text Acc 35.097561
[Train] Epoch 0163 | Total Loss 1.708042 | Image Acc 35.439024 | Text Acc 35.463415
[Train] Epoch 0164 | Total Loss 1.702590 | Image Acc 35.658537 | Text Acc 35.658537
[Train] Epoch 0165 | Total Loss 1.700697 | Image Acc 35.707317 | Text Acc 35.707317
[Train] Epoch 0166 | Total Loss 1.718433 | Image Acc 35.146341 | Text Acc 35.146341
[Train] Epoch 0167 | Total Loss 1.724664 | Image Acc 35.243902 | Text Acc 35.365854
[Train] Epoch 0168 | Total Loss 1.848056 | Image Acc 34.195122 | Text Acc 35.170732
[Train] Epoch 0169 | Total Loss 1.901906 | Image Acc 32.658537 | Text Acc 33.756098
[Train] Epoch 0170 | Total Loss 1.850222 | Image Acc 33.341463 | Text Acc 34.195122
[Train] Epoch 0171 | Total Loss 1.819379 | Image Acc 34.365854 | Text Acc 35.024390
[Train] Epoch 0172 | Total Loss 1.783034 | Image Acc 34.487805 | Text Acc 34.853659
[Train] Epoch 0173 | Total Loss 1.767556 | Image Acc 34.951220 | Text Acc 35.317073
[Train] Epoch 0174 | Total Loss 1.768433 | Image Acc 34.829268 | Text Acc 35.341463
[Train] Epoch 0175 | Total Loss 1.754753 | Image Acc 35.000000 | Text Acc 35.439024
[Train] Epoch 0176 | Total Loss 1.737587 | Image Acc 35.048780 | Text Acc 35.170732
[Train] Epoch 0177 | Total Loss 1.752597 | Image Acc 34.975610 | Text Acc 35.024390
[Train] Epoch 0178 | Total Loss 1.727239 | Image Acc 35.121951 | Text Acc 35.317073
[Train] Epoch 0179 | Total Loss 1.721017 | Image Acc 35.341463 | Text Acc 35.341463
[Train] Epoch 0180 | Total Loss 1.726032 | Image Acc 35.268293 | Text Acc 35.268293
[Train] Epoch 0181 | Total Loss 1.709002 | Image Acc 35.804878 | Text Acc 35.756098
[Train] Epoch 0182 | Total Loss 1.716730 | Image Acc 35.292683 | Text Acc 35.414634
[Train] Epoch 0183 | Total Loss 1.712289 | Image Acc 35.292683 | Text Acc 35.317073
[Train] Epoch 0184 | Total Loss 1.708534 | Image Acc 35.560976 | Text Acc 35.585366
[Train] Epoch 0185 | Total Loss 1.712536 | Image Acc 35.902439 | Text Acc 35.926829
[Train] Epoch 0186 | Total Loss 1.718791 | Image Acc 35.414634 | Text Acc 35.439024
[Train] Epoch 0187 | Total Loss 1.715178 | Image Acc 35.365854 | Text Acc 35.317073
[Train] Epoch 0188 | Total Loss 1.719773 | Image Acc 35.560976 | Text Acc 35.585366
[Train] Epoch 0189 | Total Loss 1.719212 | Image Acc 35.585366 | Text Acc 35.682927
[Train] Epoch 0190 | Total Loss 1.709440 | Image Acc 35.658537 | Text Acc 35.609756
[Train] Epoch 0191 | Total Loss 1.698897 | Image Acc 35.853659 | Text Acc 35.878049
[Train] Epoch 0192 | Total Loss 1.704795 | Image Acc 35.658537 | Text Acc 35.658537
[Train] Epoch 0193 | Total Loss 1.710941 | Image Acc 35.414634 | Text Acc 35.414634
[Train] Epoch 0194 | Total Loss 1.714339 | Image Acc 35.365854 | Text Acc 35.317073
[Train] Epoch 0195 | Total Loss 1.715747 | Image Acc 35.780488 | Text Acc 35.658537
[Train] Epoch 0196 | Total Loss 1.705132 | Image Acc 35.878049 | Text Acc 35.902439
[Train] Epoch 0197 | Total Loss 1.701721 | Image Acc 35.853659 | Text Acc 35.853659
[Train] Epoch 0198 | Total Loss 1.712300 | Image Acc 35.658537 | Text Acc 35.658537
[Train] Epoch 0199 | Total Loss 1.710359 | Image Acc 35.878049 | Text Acc 35.951220
