[Train] Epoch 0066 | Total Loss 1.724508 | Image Acc 35.585366 | Text Acc 35.756098
[Train] Epoch 0067 | Total Loss 1.733256 | Image Acc 35.170732 | Text Acc 35.219512
[Train] Epoch 0068 | Total Loss 1.705907 | Image Acc 36.146341 | Text Acc 36.195122
[Train] Epoch 0069 | Total Loss 1.712742 | Image Acc 35.780488 | Text Acc 35.804878
[Train] Epoch 0070 | Total Loss 1.715138 | Image Acc 35.804878 | Text Acc 35.829268
[Train] Epoch 0071 | Total Loss 1.722182 | Image Acc 35.243902 | Text Acc 35.292683
[Train] Epoch 0072 | Total Loss 1.718882 | Image Acc 35.170732 | Text Acc 35.243902
[Train] Epoch 0073 | Total Loss 1.723946 | Image Acc 35.073171 | Text Acc 35.097561
[Train] Epoch 0074 | Total Loss 1.720803 | Image Acc 35.268293 | Text Acc 35.268293
[Train] Epoch 0075 | Total Loss 1.725932 | Image Acc 35.292683 | Text Acc 35.463415
[Train] Epoch 0076 | Total Loss 1.729061 | Image Acc 35.609756 | Text Acc 35.609756
[Train] Epoch 0077 | Total Loss 1.721395 | Image Acc 35.487805 | Text Acc 35.512195
[Train] Epoch 0078 | Total Loss 1.713580 | Image Acc 36.000000 | Text Acc 36.073171
[Train] Epoch 0079 | Total Loss 1.705341 | Image Acc 36.121951 | Text Acc 36.097561
[Train] Epoch 0080 | Total Loss 1.728544 | Image Acc 35.292683 | Text Acc 35.341463
[Train] Epoch 0081 | Total Loss 1.731491 | Image Acc 35.170732 | Text Acc 35.195122
[Train] Epoch 0082 | Total Loss 1.716490 | Image Acc 35.560976 | Text Acc 35.585366
[Train] Epoch 0083 | Total Loss 1.724376 | Image Acc 35.512195 | Text Acc 35.560976
[Train] Epoch 0084 | Total Loss 1.723119 | Image Acc 35.585366 | Text Acc 35.658537
[Train] Epoch 0085 | Total Loss 1.730157 | Image Acc 35.170732 | Text Acc 35.195122
[Train] Epoch 0086 | Total Loss 1.727847 | Image Acc 35.512195 | Text Acc 35.463415
[Train] Epoch 0087 | Total Loss 1.717835 | Image Acc 35.414634 | Text Acc 35.439024
[Train] Epoch 0088 | Total Loss 1.709274 | Image Acc 35.609756 | Text Acc 35.609756
[Train] Epoch 0089 | Total Loss 1.727148 | Image Acc 35.317073 | Text Acc 35.268293
[Train] Epoch 0090 | Total Loss 1.703420 | Image Acc 35.780488 | Text Acc 35.780488
[Train] Epoch 0091 | Total Loss 1.707624 | Image Acc 35.829268 | Text Acc 35.804878
[Train] Epoch 0092 | Total Loss 1.709449 | Image Acc 35.902439 | Text Acc 35.902439
[Train] Epoch 0093 | Total Loss 1.715232 | Image Acc 35.902439 | Text Acc 35.853659
[Train] Epoch 0094 | Total Loss 1.712046 | Image Acc 35.829268 | Text Acc 35.878049
[Train] Epoch 0095 | Total Loss 1.707370 | Image Acc 35.878049 | Text Acc 35.878049
[Train] Epoch 0096 | Total Loss 1.716179 | Image Acc 35.682927 | Text Acc 35.707317
[Train] Epoch 0097 | Total Loss 1.713635 | Image Acc 35.878049 | Text Acc 35.878049
[Train] Epoch 0098 | Total Loss 1.711968 | Image Acc 35.487805 | Text Acc 35.463415
